Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_1150_575	1100.33	1230583333.33	7116666.67	1666083333.33	1842250000.00	775000.00	708333.33	21033333.33	1383333.33	1.1607
ijk_ikj_1150_1150	940.33	994250000.00	4025000.00	1395083333.33	1641250000.00	66666.67	675000.00	19333333.33	2166666.67	0.9780
ijk_ikj_1200_50	958.67	1245250000.00	4400000.00	1416333333.33	2626250000.00	17091666.67	491666.67	5716666.67	1966666.67	1.0080
ijk_ikj_1200_60	739.00	882000000.00	3708333.33	1065916666.67	2098583333.33	12908333.33	325000.00	3933333.33	1583333.33	0.9250
ijk_ikj_1200_75	657.33	1009250000.00	3550000.00	974250000.00	1542000000.00	9133333.33	233333.33	2450000.00	983333.33	1.0020
ijk_ikj_1200_80	760.33	897250000.00	4458333.33	1115500000.00	2103500000.00	11400000.00	291666.67	4583333.33	1466666.67	0.8037
ijk_ikj_1200_100	827.00	922916666.67	9383333.33	1171750000.00	2217666666.67	9616666.67	183333.33	6350000.00	1566666.67	0.8743
ijk_ikj_1200_120	963.33	918333333.33	20658333.33	1384666666.67	2039916666.67	7991666.67	241666.67	23483333.33	1550000.00	1.0110
ijk_ikj_1200_150	1012.00	1126250000.00	15033333.33	1384500000.00	2057583333.33	6741666.67	158333.33	30600000.00	1783333.33	1.0817
ijk_ikj_1200_200	841.33	835333333.33	12216666.67	1129750000.00	1781583333.33	5325000.00	166666.67	31466666.67	1483333.33	0.8863
ijk_ikj_1200_240	802.00	847583333.33	9750000.00	1126916666.67	1842416666.67	4241666.67	150000.00	25766666.67	1483333.33	0.8697
ijk_ikj_1200_300	648.67	724916666.67	7900000.00	904083333.33	1498666666.67	3025000.00	100000.00	16766666.67	1233333.33	0.8467
ijk_ikj_1200_400	727.33	677750000.00	6466666.67	1092750000.00	1301416666.67	1791666.67	175000.00	9783333.33	1083333.33	1.0353
ijk_ikj_1200_600	968.33	862166666.67	7708333.33	1384833333.33	1847833333.33	708333.33	1008333.33	26566666.67	1633333.33	1.0363
ijk_ikj_1200_1200	1065.00	872583333.33	4783333.33	1562250000.00	1784666666.67	58333.33	808333.33	27516666.67	6366666.67	1.1237
ijk_ikj_1250_50	904.67	1183750000.00	3566666.67	1309416666.67	2436000000.00	17341666.67	550000.00	7166666.67	2616666.67	1.1273
ijk_ikj_1250_125	1304.33	1542166666.67	19325000.00	1834000000.00	2480916666.67	9133333.33	233333.33	37083333.33	4600000.00	1.3683
ijk_ikj_1250_250	1056.67	1226000000.00	11783333.33	1468416666.67	2219666666.67	4983333.33	175000.00	40216666.67	2450000.00	1.1003
ijk_ikj_1250_625	1413.67	1541416666.67	9050000.00	2101583333.33	2286000000.00	691666.67	1308333.33	30233333.33	2133333.33	1.4807
ijk_ikj_1250_1250	1461.00	1328000000.00	5458333.33	2260833333.33	2186750000.00	58333.33	866666.67	30666666.67	9233333.33	1.5093
